,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
5,Alabama State NCAA,31,22,9,0.71,-8.86,-13.61,15,3,11,2,8,5,2135,1980,,,756,1713,0.441,165,506,0.326,458,696,0.658,386,1175,410,260,93,510,502
12,Arizona NCAA,36,28,8,0.778,26.84,12.56,15,3,13,2,7,5,2926,2386,,,1015,2131,0.476,193,544,0.355,703,940,0.748,487,1433,585,283,159,546,630
16,Arkansas NCAA,31,20,11,0.645,16.61,6.16,10,6,16,2,3,7,2476,2152,,,881,1990,0.443,273,741,0.368,441,639,0.69,410,1100,476,365,124,451,654
25,Boston College NCAA,32,27,5,0.844,17.99,5.18,13,3,17,0,6,4,2547,2129,,,879,1934,0.454,230,651,0.353,559,788,0.709,486,1166,464,326,97,423,652
29,Brigham Young NCAA,33,24,9,0.727,10.94,3.47,10,4,15,0,4,6,2324,2069,,,744,1620,0.459,185,485,0.381,651,835,0.78,292,988,414,203,108,433,491
33,Butler NCAA,32,24,8,0.75,12.55,3.98,11,3,13,1,7,6,2228,1946,,,755,1643,0.46,251,617,0.407,467,652,0.716,305,922,388,222,89,377,505
36,Cal State Northridge NCAA,32,22,10,0.688,5.94,0.24,13,3,13,1,8,6,2650,2409,,,910,1842,0.494,217,547,0.397,613,865,0.709,373,1158,608,267,77,489,716
39,University of California NCAA,31,20,11,0.645,14.76,9.08,11,7,14,3,5,7,2304,2128,,,813,1699,0.479,176,503,0.35,502,732,0.686,281,998,508,225,66,424,570
47,Charlotte NCAA,33,22,11,0.667,14.24,7.91,10,6,10,2,7,7,2583,2374,,,873,1998,0.437,305,848,0.36,532,777,0.685,411,1267,471,231,97,418,663
50,Cincinnati NCAA,35,25,10,0.714,16.19,7.84,11,5,11,3,7,5,2586,2294,,,921,2076,0.444,214,600,0.357,530,760,0.697,464,1216,451,194,118,380,666
63,Creighton NCAA,32,24,8,0.75,12.4,3,14,4,14,0,7,5,2325,2024,,,788,1782,0.442,249,694,0.359,500,712,0.702,357,1084,490,293,114,426,646
74,Duke NCAA,39,35,4,0.897,32.18,11.98,13,3,13,2,9,1,3538,2750,,,1217,2530,0.481,407,1057,0.385,697,1002,0.696,538,1505,701,411,196,531,659
