,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force NCAA,29,22,7,0.759,9.12,0.08,12,2,13,0,8,5,1737,1475,,1160,585,1216,0.481,245,647,0.379,322,453,0.711,174,623,386,225,68,318,481
4,Alabama-Birmingham NCAA,32,22,10,0.688,11.76,5.63,12,4,14,1,5,5,2414,2218,,1285,882,2006,0.44,213,646,0.33,437,656,0.666,401,1119,564,371,115,431,681
5,Alabama State NCAA,31,16,15,0.516,-11.1,-10.78,11,7,7,4,5,9,1904,1913,,,639,1523,0.42,173,517,0.335,453,691,0.656,360,1066,315,219,95,537,581
6,Alabama NCAA,33,20,13,0.606,14.29,10.2,8,8,11,4,4,6,2380,2245,,,813,1802,0.451,233,616,0.378,521,735,0.709,366,1148,395,213,111,423,598
12,Arizona NCAA,30,20,10,0.667,15.3,6.63,11,7,13,2,5,5,2614,2354,,1200,942,1938,0.486,219,568,0.386,511,650,0.786,421,1177,560,206,135,448,483
27,Boston College NCAA,34,24,10,0.706,11.99,7.17,10,6,13,3,5,5,2312,2148,,1380,819,1799,0.455,128,393,0.326,546,804,0.679,425,1224,543,241,102,457,537
31,Brigham Young NCAA,30,21,9,0.7,12.7,6.31,10,4,13,0,5,7,2200,1966,,1205,764,1571,0.486,171,487,0.351,501,692,0.724,316,1017,445,208,98,409,566
47,Central Florida NCAA,31,25,6,0.806,1.86,-5.87,17,3,12,1,11,3,2181,1916,,,792,1732,0.457,232,658,0.353,365,510,0.716,382,1129,520,279,141,473,574
50,Charlotte NCAA,30,21,9,0.7,12.24,4.7,12,4,10,3,10,4,2374,2148,,1225,812,1805,0.45,232,682,0.34,518,798,0.649,441,1220,484,264,90,458,570
53,Cincinnati NCAA,32,25,7,0.781,18.75,6.28,12,4,18,1,6,5,2455,2056,,1285,867,1893,0.458,237,612,0.387,484,723,0.669,420,1197,517,241,168,393,620
63,Connecticut NCAA,39,33,6,0.846,22.64,7.77,12,4,17,1,6,4,3073,2493,,1565,1154,2403,0.48,249,619,0.402,516,828,0.623,586,1742,681,233,315,532,624
69,Dayton NCAA,33,24,9,0.727,7.11,3.57,12,4,15,2,6,5,2244,2127,,1335,780,1746,0.447,207,644,0.321,477,717,0.665,409,1266,489,150,94,467,577
73,DePaul NCAA,32,22,10,0.688,9.06,6.38,12,4,11,4,7,5,2257,2171,,1300,813,1755,0.463,163,450,0.362,468,671,0.697,382,1159,437,176,74,422,562
77,Duke NCAA,37,31,6,0.838,25.67,10.86,13,3,14,1,8,2,2954,2406,,1490,1018,2161,0.471,263,722,0.364,655,890,0.736,474,1351,536,340,240,511,699
80,East Tennessee State NCAA,33,27,6,0.818,4.19,-3.15,15,1,12,0,11,3,2618,2291,,1325,946,2059,0.459,201,580,0.347,525,762,0.689,411,1269,505,382,192,514,557
84,Eastern Washington NCAA,30,17,13,0.567,0.83,-0.34,11,3,11,1,6,9,2102,2035,,1215,747,1574,0.475,179,488,0.367,429,608,0.706,279,918,480,192,49,453,605
89,Florida A&M NCAA,32,15,17,0.469,-9.85,-7.94,10,8,8,4,3,12,2311,2372,,,747,1802,0.415,271,782,0.347,546,771,0.708,,1089,405,271,51,537,693
93,Florida NCAA,31,20,11,0.645,16.29,9.19,9,7,11,4,4,5,2369,2149,,1250,829,1719,0.482,249,661,0.377,462,616,0.75,306,1081,492,200,98,454,586
103,Georgia Tech NCAA,38,28,10,0.737,20.66,11.21,9,7,13,3,8,5,2911,2552,,,1029,2213,0.465,267,729,0.366,586,847,0.692,429,1422,579,338,172,578,795
105,Gonzaga NCAA,31,28,3,0.903,18.94,3.32,14,0,14,0,11,0,2536,2052,,,899,1765,0.509,195,491,0.397,543,724,0.75,348,1230,556,192,116,418,500
119,Illinois-Chicago NCAA,32,24,8,0.75,6,-0.47,12,4,11,1,9,3,2223,2016,,,810,1797,0.451,158,410,0.385,445,700,0.636,423,1126,468,247,85,405,572
121,Illinois NCAA,33,26,7,0.788,16.93,7.08,13,3,12,1,7,2,2402,2077,,1330,887,1899,0.467,231,662,0.349,397,571,0.695,381,1151,565,224,122,401,618
134,Kansas NCAA,33,24,9,0.727,17.1,9.44,12,4,13,1,5,5,2503,2218,,1330,895,1923,0.465,188,562,0.335,525,743,0.707,409,1303,572,232,165,485,661
136,Kentucky NCAA,32,27,5,0.844,18.83,8.55,13,3,11,2,7,2,2365,2036,,,862,1828,0.472,204,572,0.357,437,627,0.697,371,1160,504,249,110,468,584
140,Lehigh NCAA,31,20,11,0.645,-7.3,-8.88,10,4,13,1,5,9,2082,1974,,1260,729,1718,0.424,198,573,0.346,426,595,0.716,357,1132,412,229,108,450,577
141,Liberty NCAA,33,18,15,0.545,-3.12,-4.22,12,4,13,2,4,10,2284,2224,,,819,1913,0.428,206,670,0.307,440,651,0.676,441,1235,461,292,104,528,644
145,Louisiana NCAA,29,20,9,0.69,6.24,0.42,12,3,10,1,6,7,2234,2000,,1160,797,1715,0.465,237,638,0.371,403,585,0.689,341,988,474,260,62,419,538
149,Louisville NCAA,30,20,10,0.667,18.6,6.97,9,7,13,2,5,6,2195,1846,,1215,737,1757,0.419,241,713,0.338,480,641,0.749,351,1126,460,249,151,413,616
154,Manhattan NCAA,31,25,6,0.806,9.29,-1.26,16,2,13,2,8,3,2311,1984,,,762,1724,0.442,180,489,0.368,607,798,0.761,374,1079,338,287,128,395,636
160,Maryland NCAA,32,20,12,0.625,16.96,11.68,7,9,12,4,6,5,2477,2308,,1300,891,2021,0.441,165,490,0.337,530,840,0.631,485,1322,451,274,215,485,631
163,Memphis NCAA,30,22,8,0.733,13.06,5.96,12,4,15,0,6,5,2172,1959,,1200,736,1751,0.42,259,722,0.359,441,671,0.657,402,1139,425,218,150,383,543
167,Michigan State NCAA,30,18,12,0.6,12.15,8.38,12,4,12,2,5,6,2138,2025,,1220,748,1519,0.492,190,474,0.401,452,586,0.771,270,910,441,214,54,438,630
172,Mississippi State NCAA,30,26,4,0.867,16.78,6.08,14,2,12,2,12,0,2318,1997,,1220,822,1766,0.465,198,559,0.354,476,717,0.664,444,1231,416,280,132,458,489
178,Monmouth NCAA,33,21,12,0.636,-4.84,-5.66,12,6,13,0,5,10,2253,2226,,,752,1802,0.417,236,675,0.35,513,693,0.74,303,1088,454,252,84,446,579
184,Murray State NCAA,34,28,6,0.824,7.22,-3.2,14,2,15,1,10,4,2730,2342,,1370,994,2009,0.495,224,659,0.34,518,730,0.71,416,1261,636,271,146,476,615
188,Nevada NCAA,34,25,9,0.735,14.91,5.82,13,5,15,0,5,8,2579,2257,,,901,1991,0.453,172,501,0.343,605,830,0.729,449,1322,478,218,154,445,624
199,North Carolina State NCAA,31,21,10,0.677,18.45,10.61,11,5,15,3,5,6,2261,2018,,1245,760,1688,0.45,260,753,0.345,481,602,0.799,317,1046,454,208,69,420,576
201,North Carolina NCAA,30,19,11,0.633,19.4,12.04,8,8,12,3,4,7,2464,2243,,1225,877,1912,0.459,195,554,0.352,515,749,0.688,460,1189,538,287,120,462,556
206,Northern Iowa NCAA,31,21,10,0.677,6.87,3.2,12,6,13,3,5,6,2147,2015,,1255,723,1644,0.44,223,630,0.354,478,648,0.738,268,1068,410,165,63,388,517
213,Oklahoma State NCAA,35,31,4,0.886,20.85,7.23,14,2,15,0,7,2,2698,2188,,,1002,1953,0.513,166,441,0.376,528,760,0.695,393,1253,561,271,128,468,655
219,Pacific NCAA,33,25,8,0.758,5.76,0.95,17,1,12,1,9,4,2272,2097,,1330,764,1633,0.468,195,546,0.357,549,746,0.736,304,1101,478,194,103,471,561
223,Pittsburgh NCAA,36,31,5,0.861,18.2,6.49,13,3,19,1,7,2,2446,2031,,1465,904,1921,0.471,150,490,0.306,488,748,0.652,466,1320,523,215,169,455,532
227,Princeton NCAA,28,20,8,0.714,1.54,-3.32,13,1,10,2,10,3,1760,1591,,1140,634,1319,0.481,169,500,0.338,323,454,0.711,241,856,376,192,90,372,507
228,Providence NCAA,29,20,9,0.69,14.87,8.21,11,5,11,4,8,3,2060,1867,,1165,717,1592,0.45,228,629,0.362,398,553,0.72,342,976,455,264,143,433,469
234,Richmond NCAA,33,20,13,0.606,10.07,5.07,10,6,9,4,8,7,2129,1964,,,737,1793,0.411,188,607,0.31,467,648,0.721,403,1164,406,235,143,432,617
241,Saint Joseph's NCAA,32,30,2,0.938,20.03,4.97,16,0,9,0,13,0,2476,1994,,,866,1822,0.475,313,775,0.404,431,614,0.702,308,1043,520,285,111,370,546
