,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
6,Alabama NCAA,35,27,8,0.771,16.93,7.67,12,4,17,0,4,4,2658,2334,,,910,2071,0.439,217,703,0.309,621,844,0.736,509,1369,460,257,113,490,
8,Alcorn State NCAA,31,21,10,0.677,-11.28,-14.18,16,2,11,0,8,9,2473,2374,,,900,1935,0.465,173,458,0.378,500,777,0.644,453,1243,496,258,125,538,
12,Arizona NCAA,34,24,10,0.706,16.93,12.49,12,6,13,4,6,5,2793,2642,,,935,2039,0.459,258,686,0.376,665,910,0.731,430,1286,527,207,103,478,
26,Boston College NCAA,32,20,12,0.625,8.95,5.91,8,8,11,5,5,4,2354,2257,,,801,1913,0.419,212,629,0.337,540,776,0.696,452,1192,431,259,106,449,
27,Boston University NCAA,32,22,10,0.688,-4.68,-7.81,13,3,11,2,9,6,2147,2047,,,748,1767,0.423,203,567,0.358,448,651,0.688,393,1200,399,192,84,415,
40,UC-Santa Barbara NCAA,31,20,11,0.645,5.55,-0.05,11,7,11,2,5,8,2066,1889,,,693,1544,0.449,201,499,0.403,479,634,0.756,301,1078,454,171,87,423,
41,University of California NCAA,32,23,9,0.719,13.08,7.45,12,6,18,1,4,7,2310,2130,,,835,1849,0.452,187,595,0.314,453,669,0.677,365,1087,487,254,132,423,
45,Central Connecticut State NCAA,32,27,5,0.844,-1.1,-9.29,19,1,13,2,11,2,2280,2018,,,814,1777,0.458,139,397,0.35,513,697,0.736,418,1247,426,215,107,480,
49,Charlotte NCAA,30,18,12,0.6,13.61,8.68,11,5,11,3,6,7,2205,2057,,1205,761,1730,0.44,247,676,0.365,436,616,0.708,377,1136,416,203,72,408,
52,Cincinnati NCAA,35,31,4,0.886,24.38,6.58,14,2,18,0,7,3,2738,2115,,,967,2071,0.467,209,577,0.362,595,839,0.709,462,1396,480,167,154,416,
62,Connecticut NCAA,34,27,7,0.794,16.02,7.43,13,3,13,1,7,3,2646,2354,,,972,2012,0.483,154,391,0.394,548,787,0.696,464,1381,494,256,236,545,
65,Creighton NCAA,32,23,9,0.719,8.38,1.38,14,4,12,3,7,5,2421,2197,,1310,849,1829,0.464,230,619,0.372,493,675,0.73,384,1142,488,261,125,458,
67,Davidson NCAA,31,21,10,0.677,0.6,0.71,11,5,11,2,7,6,2192,2046,,,776,1778,0.436,249,705,0.353,391,574,0.681,369,1193,484,210,116,486,
76,Duke NCAA,35,31,4,0.886,28.91,9.16,13,3,13,0,7,3,3112,2421,,,1093,2209,0.495,301,830,0.363,625,906,0.69,428,1303,625,351,113,501,
89,Florida Atlantic NCAA,31,19,12,0.613,-3.95,-5.33,13,7,10,3,6,8,2303,2235,,,859,2011,0.427,178,527,0.338,407,611,0.666,505,1212,483,294,108,474,
92,Florida NCAA,31,22,9,0.71,22.27,8.37,10,6,13,2,6,4,2495,2064,,,892,1899,0.47,232,658,0.353,479,687,0.697,430,1203,519,307,141,463,
102,Georgia NCAA,32,22,10,0.688,14.68,9.24,10,6,12,2,6,6,2444,2271,,1290,871,1947,0.447,189,588,0.321,513,696,0.737,468,1226,495,281,114,455,
103,Gonzaga NCAA,33,29,4,0.879,13.9,0.74,13,1,13,0,11,2,2677,2197,,,907,1931,0.47,237,606,0.391,626,855,0.732,425,1370,522,189,113,458,
106,Hampton NCAA,33,26,7,0.788,-0.4,-8.9,17,1,10,0,11,4,2623,2344,,,933,1940,0.481,218,615,0.354,539,805,0.67,457,1241,470,265,115,489,
109,Hawaii NCAA,33,27,6,0.818,9.81,1.15,15,3,16,1,7,3,2367,2081,,,818,1818,0.45,241,634,0.38,490,716,0.684,338,1103,546,230,116,407,
