winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,150,31,6,20.87,8.41,16,2,16,2,8,1,2748,2287,1001,2189,305,827,441,687,464,1395,625,335,223,508,625,16,182,20,16,-3.14,-3.61,12,6,12,1,4,12,2511,2411,865,1978,188,565,593,823,498,1400,464,239,139,557,657
9,257,27,8,8.05,0.99,16,2,17,0,9,4,2709,2462,1007,2157,184,558,511,769,438,1273,534,309,159,462,521,8,214,22,11,12.48,8.23,10,8,15,3,4,7,2206,2046,778,1618,216,576,434,619,266,1024,440,194,175,439,501
12,12,21,14,11.88,8.8,9,9,14,3,2,9,2529,2421,897,1892,212,548,523,709,387,1183,500,217,104,442,548,5,302,24,10,12.59,5.72,12,4,13,2,6,7,2421,2195,819,1727,242,655,541,693,279,1193,458,171,166,469,632
13,56,26,11,6.97,2.12,12,6,13,2,8,8,2455,2203,882,2043,180,578,511,729,441,1267,512,320,118,454,680,4,312,24,7,15.63,7.36,11,5,14,1,7,4,2510,2193,906,1849,126,394,572,804,390,1262,405,258,176,492,584
11,69,27,8,7.16,1.76,11,5,18,0,5,5,2339,2150,831,1972,190,579,487,752,484,1328,485,227,124,475,672,6,316,23,12,18.57,8.34,10,8,11,3,7,5,2521,2163,886,2067,231,703,518,742,532,1340,530,233,159,420,661
3,134,27,8,18.02,7.9,14,2,18,0,6,4,2674,2290,945,1979,217,585,567,782,421,1371,555,239,155,508,664,14,203,26,7,6.18,-2.72,16,2,12,1,10,4,2659,2279,943,1936,238,578,535,724,363,1171,486,230,108,370,539
10,265,22,13,14.09,9.15,9,9,15,2,2,8,2397,2224,872,1843,129,396,524,778,409,1247,438,224,165,487,584,7,26,22,12,10.36,7.23,9,7,15,4,5,5,2528,2397,885,2000,217,649,541,733,485,1259,503,208,147,457,614
2,168,31,7,17.71,9.37,15,3,12,2,9,1,2737,2420,962,2135,201,567,612,877,533,1482,611,248,107,532,734,15,239,24,11,-0.7,-5.23,15,3,14,3,9,7,2467,2288,880,1859,226,573,481,683,353,1161,536,301,121,530,693
1,150,31,6,20.87,8.41,16,2,16,2,8,1,2748,2287,1001,2189,305,827,441,687,464,1395,625,335,223,508,625,9,257,27,8,8.05,0.99,16,2,17,0,9,4,2709,2462,1007,2157,184,558,511,769,438,1273,534,309,159,462,521
12,12,21,14,11.88,8.8,9,9,14,3,2,9,2529,2421,897,1892,212,548,523,709,387,1183,500,217,104,442,548,13,56,26,11,6.97,2.12,12,6,13,2,8,8,2455,2203,882,2043,180,578,511,729,441,1267,512,320,118,454,680
