season,winnerName,winnerSeed,loserName,loserSeed
200607,Kansas,1,Niagara,16
200607,Kentucky,8,Villanova,9
200607,Virginia Tech,5,Illinois,12
200607,Southern Illinois,4,Holy Cross,13
200607,Virginia Commonwealth,11,Duke,6
200607,Pittsburgh,3,Wright State,14
200607,Indiana,7,Gonzaga,10
200607,UCLA,2,Weber State,15
200607,Kansas,1,Kentucky,8
200607,Southern Illinois,4,Virginia Tech,5
200607,Pittsburgh,3,Virginia Commonwealth,11
200607,UCLA,2,Indiana,7
200607,Kansas,1,Southern Illinois,4
200607,UCLA,2,Pittsburgh,3
200607,UCLA,2,Kansas,1
200607,North Carolina,1,Eastern Kentucky,16
200607,Michigan State,9,Marquette,8
200607,Southern California,5,Arkansas,12
200607,Texas,4,New Mexico State,13
200607,Vanderbilt,6,George Washington,11
200607,Washington State,3,Oral Roberts,3
200607,Boston College,7,Texas Tech,10
200607,Georgetown,2,Belmont,15
200607,North Carolina,1,Michigan State,9
200607,Southern California,5,Texas,4
200607,Vanderbilt,6,Washington State,3
200607,Georgetown,2,Boston College,7
200607,North Carolina,1,Southern California,5
200607,Georgetown,2,Vanderbilt,6
200607,Georgetown,2,North Carolina,1
200607,Florida,1,Jackson State,16
200607,Purdue,9,Arizona,8
200607,Butler,5,Old Dominion,12
200607,Maryland,4,Davidson,13
200607,Winthrop,11,Notre Dame,6
200607,Oregon,3,Miami (OH),14
200607,Nevada-Las Vegas,7,Georgia Tech,10
200607,Wisconsin,2,Texas A&M-Corpus Christi,15
200607,Florida,1,Purdue,9
200607,Butler,5,Maryland,4
200607,Oregon,3,Winthrop,11
200607,Nevada-Las Vegas,7,Wisconsin,2
200607,Florida,1,Butler,5
200607,Oregon,3,Nevada-Las Vegas,7
200607,Florida,1,Oregon,3
200607,Ohio State,1,Central Connecticut State,16
200607,Xavier,9,Brigham Young,8
200607,Tennessee,5,Long Beach State,12
200607,Virginia,4,Albany (NY),13
200607,Louisville,6,Stanford,11
200607,Texas A&M,3,Pennsylvania,14
200607,Nevada,7,Creighton,10
200607,Memphis,2,North Texas,15
200607,Ohio State,1,Xavier,9
200607,Tennessee,5,Virginia,4
200607,Texas A&M,3,Louisville,6
200607,Memphis,2,Nevada,7
200607,Ohio State,1,Tennessee,5
200607,Memphis,2,Texas A&M,3
200607,Ohio State,1,Memphis,2
200607,Florida,1,UCLA,2
200607,Ohio State,1,Georgetown,2
200607,Florida,1,Ohio State,1
