games/game/away/names/seo,games/game/away/names/short,games/game/away/score,games/game/away/seed,games/game/away/winner,games/game/bracketRegion,games/game/bracketRound,games/game/home/names/seo,games/game/home/names/short,games/game/home/score,games/game/home/seed,games/game/home/winner
nc-at,N.C. A&T,73,16,true,,First Round,liberty,Liberty,72,16,false
st-marys-ca,St. Mary's (CA),67,11,true,,First Round,middle-tenn,Middle Tenn.,54,11,false
long-island,Long Island,55,16,false,,First Round,james-madison,James Madison,68,16,true
la-salle,La Salle,80,13,true,,First Round,boise-st,Boise St.,71,13,false
valparaiso,Valparaiso,54,14,false,Midwest,Second Round,michigan-st,Michigan St.,65,3,true
bucknell,Bucknell,56,11,false,East,Second Round,butler,Butler,68,6,true
wichita-st,Wichita St.,73,9,true,West,Second Round,pittsburgh,Pittsburgh,55,8,false
new-mexico-st,New Mexico St.,44,13,false,Midwest,Second Round,saint-louis,Saint Louis,64,4,true
st-marys-ca,St. Mary's (CA),52,11,false,Midwest,Second Round,memphis,Memphis,54,6,true
davidson,Davidson,58,14,false,East,Second Round,marquette,Marquette,59,3,true
southern-u,Southern U.,58,16,false,West,Second Round,gonzaga,Gonzaga,64,1,true
oregon,Oregon,68,12,true,Midwest,Second Round,oklahoma-st,Oklahoma St.,55,5,false
nc-at,N.C. A&T,48,16,false,Midwest,Second Round,louisville,Louisville,79,1,true
south-dakota-st,South Dakota St.,56,13,false,South,Second Round,michigan,Michigan,71,4,true
belmont,Belmont,64,11,false,West,Second Round,arizona,Arizona,81,6,true
california,California,64,12,true,East,Second Round,unlv,UNLV,61,5,false
missouri,Missouri,72,9,false,Midwest,Second Round,colorado-st,Colorado St.,84,8,true
akron,Akron,42,12,false,South,Second Round,vcu,VCU,88,5,true
harvard,Harvard,68,14,true,West,Second Round,new-mexico,New Mexico,62,3,false
montana,Montana,34,13,false,East,Second Round,syracuse,Syracuse,81,4,true
albany-ny,Albany (NY),61,15,false,Midwest,Second Round,duke,Duke,73,2,true
ole-miss,Ole Miss,57,12,true,West,Second Round,wisconsin,Wisconsin,46,5,false
temple,Temple,76,9,true,East,Second Round,north-carolina-st,North Carolina St.,72,8,false
pacific,Pacific,49,15,false,East,Second Round,miami-fl,Miami (FL),78,2,true
cincinnati,Cincinnati,63,10,false,Midwest,Second Round,creighton,Creighton,67,7,true
la-salle,La Salle,63,13,true,West,Second Round,kansas-st,Kansas St.,61,4,false
james-madison,James Madison,62,16,false,East,Second Round,indiana,Indiana,83,1,true
colorado,Colorado,49,10,false,East,Second Round,illinois,Illinois,57,7,true
fgcu,FGCU,78,15,true,South,Second Round,georgetown,Georgetown,68,2,false
iona,Iona,70,15,false,West,Second Round,ohio-st,Ohio St.,95,2,true
villanova,Villanova,71,9,false,South,Second Round,north-carolina,North Carolina,78,8,true
northwestern-st,Northwestern St.,47,14,false,South,Second Round,florida,Florida,79,3,true
oklahoma,Oklahoma,55,10,false,South,Second Round,san-diego-st,San Diego St.,70,7,true
iowa-st,Iowa St.,76,10,true,West,Second Round,notre-dame,Notre Dame,58,7,false
western-ky,Western Ky.,57,16,false,South,Second Round,kansas,Kansas,64,1,true
minnesota,Minnesota,83,11,true,South,Second Round,ucla,UCLA,63,6,false
vcu,VCU,53,5,false,South,Third Round,michigan,Michigan,78,4,true
memphis,Memphis,48,6,false,Midwest,Third Round,michigan-st,Michigan St.,70,3,true
colorado-st,Colorado St.,56,8,false,Midwest,Third Round,louisville,Louisville,82,1,true
harvard,Harvard,51,14,false,West,Third Round,arizona,Arizona,74,6,true
oregon,Oregon,74,12,true,Midwest,Third Round,saint-louis,Saint Louis,57,4,false
butler,Butler,72,6,false,East,Third Round,marquette,Marquette,74,3,true
wichita-st,Wichita St.,76,9,true,West,Third Round,gonzaga,Gonzaga,70,1,false
california,California,60,12,false,East,Third Round,syracuse,Syracuse,66,4,true
iowa-st,Iowa St.,75,10,false,West,Third Round,ohio-st,Ohio St.,78,2,true
temple,Temple,52,9,false,East,Third Round,indiana,Indiana,58,1,true
north-carolina,North Carolina,58,8,false,South,Third Round,kansas,Kansas,70,1,true
minnesota,Minnesota,64,11,false,South,Third Round,florida,Florida,78,3,true
fgcu,FGCU,81,15,true,South,Third Round,san-diego-st,San Diego St.,71,7,false
la-salle,La Salle,76,13,true,West,Third Round,ole-miss,Ole Miss,74,12,false
illinois,Illinois,59,7,false,East,Third Round,miami-fl,Miami (FL),63,2,true
creighton,Creighton,50,7,false,Midwest,Third Round,duke,Duke,66,2,true
marquette,Marquette,71,3,true,East,NCAA Sweet Sixteen,miami-fl,Miami (FL),61,2,false
arizona,Arizona,70,6,false,West,NCAA Sweet Sixteen,ohio-st,Ohio St.,73,2,true
syracuse,Syracuse,61,4,true,East,NCAA Sweet Sixteen,indiana,Indiana,50,1,false
la-salle,La Salle,58,13,false,West,NCAA Sweet Sixteen,wichita-st,Wichita St.,72,9,true
oregon,Oregon,69,12,false,Midwest,NCAA Sweet Sixteen,louisville,Louisville,77,1,true
michigan,Michigan,87,4,true,South,NCAA Sweet Sixteen,kansas,Kansas,85,1,false
michigan-st,Michigan St.,61,3,false,Midwest,NCAA Sweet Sixteen,duke,Duke,71,2,true
fgcu,FGCU,50,15,false,South,NCAA Sweet Sixteen,florida,Florida,62,3,true
syracuse,Syracuse,55,4,true,East,Elite Eight,marquette,Marquette,39,3,false
wichita-st,Wichita St.,70,9,true,West,Elite Eight,ohio-st,Ohio St.,66,2,false
michigan,Michigan,79,4,true,South,Elite Eight,florida,Florida,59,3,false
duke,Duke,63,2,false,Midwest,Elite Eight,louisville,Louisville,85,1,true
wichita-st,Wichita St.,68,9,false,,Final Four,louisville,Louisville,72,1,true
syracuse,Syracuse,56,4,false,,Final Four,michigan,Michigan,61,4,true
michigan,Michigan,76,4,false,,National Championship,louisville,Louisville,82,1,true
