game/away/names/seo,game/away/names/short,game/away/score,game/away/seed,game/away/winner,game/bracketRegion,game/bracketRound,game/home/names/seo,game/home/names/short,game/home/score,game/home/seed,game/home/winner
mt-st-marys,Mt. St. Mary's,67,16,true,,First Four&#174;,new-orleans,New Orleans,66,16,false
kansas-st,Kansas St.,95,11,true,,First Four&#174;,wake-forest,Wake Forest,88,11,false
nc-central,N.C. Central,63,16,false,,First Four&#174;,uc-davis,UC Davis,67,16,true
southern-california,Southern California,75,11,true,,First Four&#174;,providence,Providence,71,11,false
princeton,Princeton,58,12,false,WEST,First Round,notre-dame,Notre Dame,60,5,true
unc-wilmington,UNC Wilmington,71,12,false,EAST,First Round,virginia,Virginia,76,5,true
winthrop,Winthrop,64,13,false,SOUTH,First Round,butler,Butler,76,4,true
south-dakota-st,South Dakota St.,46,16,false,WEST,First Round,gonzaga,Gonzaga,66,1,true
bucknell,Bucknell,80,13,false,WEST,First Round,west-virginia,West Virginia,86,4,true
east-tenn-st,East Tenn. St.,65,13,false,EAST,First Round,florida,Florida,80,4,true
middle-tenn,Middle Tenn.,81,12,true,SOUTH,First Round,minnesota,Minnesota,72,5,false
vanderbilt,Vanderbilt,66,9,false,WEST,First Round,northwestern,Northwestern,68,8,true
xavier,Xavier,76,11,true,WEST,First Round,maryland,Maryland,65,6,false
mt-st-marys,Mt. St. Mary's,56,16,false,EAST,First Round,villanova,Villanova,76,1,true
vcu,VCU,77,10,false,WEST,First Round,st-marys-ca,St. Mary's (CA),85,7,true
vermont,Vermont,70,13,false,MIDWEST,First Round,purdue,Purdue,80,4,true
fgcu,FGCU,80,14,false,WEST,First Round,florida-st,Florida St.,86,3,true
virginia-tech,Virginia Tech,74,9,false,EAST,First Round,wisconsin,Wisconsin,84,8,true
nevada,Nevada,73,12,false,MIDWEST,First Round,iowa-st,Iowa St.,84,5,true
north-dakota,North Dakota,82,15,false,WEST,First Round,arizona,Arizona,100,2,true
oklahoma-st,Oklahoma St.,91,10,false,MIDWEST,First Round,michigan,Michigan,92,7,true
new-mexico-st,New Mexico St.,73,14,false,EAST,First Round,baylor,Baylor,91,3,true
seton-hall,Seton Hall,71,9,false,SOUTH,First Round,arkansas,Arkansas,77,8,true
iona,Iona,77,14,false,MIDWEST,First Round,oregon,Oregon,93,3,true
jacksonville-st,Jacksonville St.,63,15,false,MIDWEST,First Round,louisville,Louisville,78,2,true
southern-california,Southern California,66,11,true,EAST,First Round,smu,SMU,65,6,false
texas-southern,Texas Southern,64,16,false,SOUTH,First Round,north-carolina,North Carolina,103,1,true
rhode-island,Rhode Island,84,11,true,MIDWEST,First Round,creighton,Creighton,72,6,false
uc-davis,UC Davis,62,16,false,MIDWEST,First Round,kansas,Kansas,100,1,true
wichita-st,Wichita St.,64,10,true,SOUTH,First Round,dayton,Dayton,58,7,false
troy,Troy,65,15,false,EAST,First Round,duke,Duke,87,2,true
kansas-st,Kansas St.,61,11,false,SOUTH,First Round,cincinnati,Cincinnati,75,6,true
michigan-st,Michigan St.,78,9,true,MIDWEST,First Round,miami-fl,Miami (FL),58,8,false
marquette,Marquette,73,10,false,EAST,First Round,south-carolina,South Carolina,93,7,true
northern-ky,Northern Ky.,70,15,false,SOUTH,First Round,kentucky,Kentucky,79,2,true
kent-st,Kent St.,80,14,false,SOUTH,First Round,ucla,UCLA,97,3,true
notre-dame,Notre Dame,71,5,false,WEST,Second Round,west-virginia,West Virginia,83,4,true
wisconsin,Wisconsin,65,8,true,EAST,Second Round,villanova,Villanova,62,1,false
northwestern,Northwestern,73,8,false,WEST,Second Round,gonzaga,Gonzaga,79,1,true
xavier,Xavier,91,11,true,WEST,Second Round,florida-st,Florida St.,66,3,false
middle-tenn,Middle Tenn.,65,12,false,SOUTH,Second Round,butler,Butler,74,4,true
st-marys-ca,St. Mary's (CA),60,7,false,WEST,Second Round,arizona,Arizona,69,2,true
virginia,Virginia,39,5,false,EAST,Second Round,florida,Florida,65,4,true
iowa-st,Iowa St.,76,5,false,MIDWEST,Second Round,purdue,Purdue,80,4,true
michigan,Michigan,73,7,true,MIDWEST,Second Round,louisville,Louisville,69,2,false
wichita-st,Wichita St.,62,10,false,SOUTH,Second Round,kentucky,Kentucky,65,2,true
michigan-st,Michigan St.,70,9,false,MIDWEST,Second Round,kansas,Kansas,90,1,true
arkansas,Arkansas,65,8,false,SOUTH,Second Round,north-carolina,North Carolina,72,1,true
rhode-island,Rhode Island,72,11,false,MIDWEST,Second Round,oregon,Oregon,75,3,true
southern-california,Southern California,78,11,false,EAST,Second Round,baylor,Baylor,82,3,true
south-carolina,South Carolina,88,7,true,EAST,Second Round,duke,Duke,81,2,false
cincinnati,Cincinnati,67,6,false,SOUTH,Second Round,ucla,UCLA,79,3,true
michigan,Michigan,68,7,false,MIDWEST,Sweet 16&#174;,oregon,Oregon,69,3,true
west-virginia,West Virginia,58,4,false,WEST,Sweet 16&#174;,gonzaga,Gonzaga,61,1,true
purdue,Purdue,66,4,false,MIDWEST,Sweet 16&#174;,kansas,Kansas,98,1,true
xavier,Xavier,73,11,true,WEST,Sweet 16&#174;,arizona,Arizona,71,2,false
butler,Butler,80,4,false,SOUTH,Sweet 16&#174;,north-carolina,North Carolina,92,1,true
south-carolina,South Carolina,70,7,true,EAST,Sweet 16&#174;,baylor,Baylor,50,3,false
ucla,UCLA,75,3,false,SOUTH,Sweet 16&#174;,kentucky,Kentucky,86,2,true
wisconsin,Wisconsin,83,8,false,EAST,Sweet 16&#174;,florida,Florida,84,4,true
xavier,Xavier,59,11,false,WEST,Elite Eight&#174;,gonzaga,Gonzaga,83,1,true
oregon,Oregon,74,3,true,MIDWEST,Elite Eight&#174;,kansas,Kansas,60,1,false
south-carolina,South Carolina,77,7,true,EAST,Elite Eight&#174;,florida,Florida,70,4,false
kentucky,Kentucky,73,2,false,SOUTH,Elite Eight&#174;,north-carolina,North Carolina,75,1,true
